,AdapterTime,BidPx,AskPx
0,2019-03-15 13:30:00.110074,1.13138,1.13141
1,2019-03-15 13:30:00.989444,1.1314,1.13143
2,2019-03-15 13:30:01.166787,1.13139,1.13142
3,2019-03-15 13:30:01.299475,1.1314,1.13144
4,2019-03-15 13:30:02.475137,1.13142,1.13145
5,2019-03-15 13:30:07.206197,1.1314,1.13143
6,2019-03-15 13:30:07.216629,1.13139,1.13142
7,2019-03-15 13:30:07.512917,1.13138,1.13141
8,2019-03-15 13:30:07.636624,1.13137,1.1314
9,2019-03-15 13:30:09.391763,1.13138,1.13141
10,2019-03-15 13:30:09.522262,1.13139,1.13143
11,2019-03-15 13:30:09.794138,1.13141,1.13144
12,2019-03-15 13:30:10.700278,1.13142,1.13146
13,2019-03-15 13:30:10.784855,1.13143,1.13147
14,2019-03-15 13:30:10.964334,1.13145,1.13148
15,2019-03-15 13:30:11.062882,1.13145,1.13149
16,2019-03-15 13:30:11.694307,1.13146,1.1315
17,2019-03-15 13:30:12.016788,1.13148,1.13152
18,2019-03-15 13:30:12.020016,1.1315,1.13154
19,2019-03-15 13:30:12.141072,1.13148,1.13152
20,2019-03-15 13:30:12.191115,1.13147,1.13151
21,2019-03-15 13:30:12.327668,1.13146,1.13149
22,2019-03-15 13:30:13.487437,1.13147,1.13151
23,2019-03-15 13:30:13.707309,1.13148,1.13152
24,2019-03-15 13:30:14.508709,1.13147,1.13151
25,2019-03-15 13:30:15.076964,1.13148,1.1315
26,2019-03-15 13:30:17.633379,1.13146,1.13149
27,2019-03-15 13:30:17.635342,1.13148,1.1315
28,2019-03-15 13:30:17.802586,1.13146,1.13149
29,2019-03-15 13:30:17.803880,1.13147,1.1315
30,2019-03-15 13:30:17.808565,1.13146,1.13148
31,2019-03-15 13:30:17.887507,1.13147,1.1315
32,2019-03-15 13:30:18.971203,1.13148,1.13151
33,2019-03-15 13:30:20.273712,1.13147,1.1315
34,2019-03-15 13:30:20.279496,1.13146,1.13148
35,2019-03-15 13:30:20.323150,1.13147,1.1315
36,2019-03-15 13:30:22.990061,1.13148,1.13151
37,2019-03-15 13:30:25.176894,1.13149,1.13152
38,2019-03-15 13:30:25.608336,1.13151,1.13153
39,2019-03-15 13:30:25.702280,1.13153,1.13155
