,AdapterTime,BidPx,AskPx
0,2019-03-15 13:30:00.076719,1.13135,1.13141
1,2019-03-15 13:30:00.087067,1.13134,1.1314
2,2019-03-15 13:30:00.128226,1.13133,1.13139
3,2019-03-15 13:30:00.210257,1.13135,1.13141
4,2019-03-15 13:30:00.215792,1.13133,1.13139
5,2019-03-15 13:30:00.444662,1.13135,1.13141
6,2019-03-15 13:30:00.674970,1.13135,1.13139
7,2019-03-15 13:30:01.014685,1.13136,1.1314
8,2019-03-15 13:30:01.299864,1.13138,1.13142
9,2019-03-15 13:30:01.309399,1.13138,1.13142
10,2019-03-15 13:30:02.015310,1.13138,1.13142
11,2019-03-15 13:30:02.659113,1.13136,1.13142
12,2019-03-15 13:30:04.782876,1.13137,1.13143
13,2019-03-15 13:30:05.891604,1.13136,1.13142
14,2019-03-15 13:30:06.007341,1.13136,1.13142
15,2019-03-15 13:30:07.200195,1.13137,1.13143
16,2019-03-15 13:30:07.218968,1.13134,1.13142
17,2019-03-15 13:30:07.231375,1.13134,1.13142
18,2019-03-15 13:30:07.282965,1.13134,1.13141
19,2019-03-15 13:30:07.372045,1.13134,1.1314
20,2019-03-15 13:30:07.448188,1.13132,1.1314
21,2019-03-15 13:30:07.463138,1.13132,1.13139
22,2019-03-15 13:30:07.553908,1.13132,1.13138
23,2019-03-15 13:30:07.665272,1.13134,1.1314
24,2019-03-15 13:30:07.771571,1.13134,1.1314
25,2019-03-15 13:30:07.781939,1.13138,1.13144
26,2019-03-15 13:30:08.657769,1.13137,1.13141
27,2019-03-15 13:30:09.420930,1.13139,1.13143
28,2019-03-15 13:30:09.532751,1.13141,1.13145
29,2019-03-15 13:30:09.661185,1.13139,1.13145
30,2019-03-15 13:30:10.673932,1.13141,1.13147
31,2019-03-15 13:30:10.795900,1.13143,1.13149
32,2019-03-15 13:30:10.805326,1.13141,1.13147
33,2019-03-15 13:30:10.958840,1.13143,1.13149
34,2019-03-15 13:30:11.282816,1.13145,1.13151
35,2019-03-15 13:30:12.012334,1.13145,1.13151
36,2019-03-15 13:30:12.028549,1.13147,1.13153
37,2019-03-15 13:30:12.038714,1.13149,1.13155
38,2019-03-15 13:30:12.044404,1.13149,1.13155
39,2019-03-15 13:30:12.093932,1.13147,1.13153
40,2019-03-15 13:30:12.223166,1.13145,1.13151
41,2019-03-15 13:30:12.306651,1.13145,1.13151
42,2019-03-15 13:30:13.618906,1.13145,1.13151
43,2019-03-15 13:30:13.662943,1.13145,1.13153
44,2019-03-15 13:30:14.773294,1.13144,1.13152
45,2019-03-15 13:30:16.120020,1.13144,1.13152
46,2019-03-15 13:30:16.852193,1.13146,1.13152
47,2019-03-15 13:30:17.006697,1.13142,1.13149
48,2019-03-15 13:30:17.559680,1.13142,1.13148
49,2019-03-15 13:30:17.657016,1.1314,1.13148
50,2019-03-15 13:30:18.496555,1.13142,1.1315
51,2019-03-15 13:30:18.884376,1.1314,1.13148
52,2019-03-15 13:30:19.011945,1.1314,1.13149
53,2019-03-15 13:30:19.177281,1.1314,1.13148
54,2019-03-15 13:30:20.175521,1.1314,1.13148
55,2019-03-15 13:30:20.282136,1.13145,1.13153
56,2019-03-15 13:30:21.007952,1.13144,1.13152
57,2019-03-15 13:30:22.209390,1.13145,1.13151
58,2019-03-15 13:30:22.306107,1.13146,1.13152
59,2019-03-15 13:30:24.796549,1.13147,1.13153
60,2019-03-15 13:30:24.812696,1.13146,1.13152
61,2019-03-15 13:30:25.185446,1.13149,1.13155
62,2019-03-15 13:30:25.201933,1.1315,1.13156
63,2019-03-15 13:30:25.210449,1.13149,1.13155
64,2019-03-15 13:30:25.238614,1.13147,1.13153
65,2019-03-15 13:30:25.274546,1.13149,1.13155
66,2019-03-15 13:30:25.329198,1.13147,1.13153
67,2019-03-15 13:30:25.543229,1.13149,1.13155
68,2019-03-15 13:30:25.654015,1.13149,1.13157
69,2019-03-15 13:30:25.743045,1.13151,1.13159
70,2019-03-15 13:30:25.853124,1.13152,1.1316
71,2019-03-15 13:30:25.862292,1.13152,1.1316
72,2019-03-15 13:30:25.920986,1.1315,1.13158
73,2019-03-15 13:30:26.263357,1.13153,1.13161
74,2019-03-15 13:30:27.008933,1.13154,1.13162
75,2019-03-15 13:30:27.519321,1.13156,1.13164
76,2019-03-15 13:30:27.529702,1.13157,1.13165
77,2019-03-15 13:30:27.538594,1.13159,1.13167
78,2019-03-15 13:30:28.649493,1.1316,1.13168
79,2019-03-15 13:30:29.028605,1.1316,1.13168
80,2019-03-15 13:30:30.010077,1.13159,1.13167
81,2019-03-15 13:30:30.692309,1.13161,1.13169
82,2019-03-15 13:30:30.700637,1.13163,1.13171
83,2019-03-15 13:30:30.710545,1.13161,1.13169
84,2019-03-15 13:30:30.980307,1.13162,1.1317
85,2019-03-15 13:30:30.988339,1.1316,1.13168
86,2019-03-15 13:30:31.108302,1.13158,1.13166
87,2019-03-15 13:30:32.502301,1.13159,1.13167
88,2019-03-15 13:30:32.521045,1.1316,1.13168
89,2019-03-15 13:30:33.481283,1.13161,1.13169
90,2019-03-15 13:30:34.007467,1.13161,1.13169
91,2019-03-15 13:30:35.039270,1.13163,1.13171
92,2019-03-15 13:30:35.124663,1.13164,1.13172
93,2019-03-15 13:30:36.151597,1.13162,1.1317
94,2019-03-15 13:30:37.008644,1.13163,1.13171
95,2019-03-15 13:30:38.173688,1.13164,1.13172
96,2019-03-15 13:30:39.287676,1.13165,1.13173
