"Trade ID";"Status";"Counterparty";"Timestamp";"B/S";"Instrument";"Tenor";"Price";"CommissionPriceShift (pts)";"Value Date 1";"First Rate";"Amount";"Contra Amount";"Value Date 2";"Second Amount";"Second Contra Amount";"Base Quantity";"Source Name";"Trader";"Account";"Counterparty Trader";"Counterparty Account";"Type";"Comment";"Reference ID";"Order ID";"Operation ID";"Operation Level";"External";"Ext Order Id";"Ext Exec Id";"Ext Client Id";"Responsible";"Initiator Id";"Initiator";"Send to STP";"Send to STP(Removed)"
"14047906";"0";"AVRS";"2019.04.17 10:02:00.186";"Sell/Buy";"EURUSD";"O/N";"0.000091";"";"2019.04.17";"1.12992";"5000000";"5649600";"2019.04.18";"5000000";"5650055";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"AVRS";"Avers Bank OOO";"Swap";"";"";"0c169320-18d8-4139-b803-20f801c6d021";"1f089667-e335-4ce4-96ac-ed8e682703c6";"0";"true";"";"";"";"";"2388";"AVRS";"true";""
"14048024";"0";"NRBM";"2019.04.17 10:04:38.444";"Sell/Buy";"EURUSD";"O/N";"0.000091";"";"2019.04.17";"1.13039";"125000";"141298.75";"2019.04.18";"125000";"141310.13";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NRBM2";"Nationalnuy Rezervnuy Bank";"Swap";"";"";"61883edb-67c8-423e-8300-abdaf0135842";"ed7050e3-fd4e-4cf3-85dc-74328a864c3e";"0";"true";"";"";"";"";"4176";"NRBM2";"true";""
"14048030";"0";"NRBM";"2019.04.17 10:04:46.633";"Sell/Buy";"GBPUSD";"O/N";"0.000067";"";"2019.04.17";"1.30535";"250000";"326337.5";"2019.04.18";"250000";"326354.25";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NRBM2";"Nationalnuy Rezervnuy Bank";"Swap";"";"";"5bf572ac-7605-448e-b659-f270101cb465";"da692d95-ae48-4bde-bd0a-c4ebf015cffa";"0";"true";"";"";"";"";"4176";"NRBM2";"true";""
"14048802";"0";"BCSR";"2019.04.17 10:15:51.415";"Sell/Buy";"EURRUB";"O/N";"0.0165";"";"2019.04.17";"72.28";"515000";"37224200";"2019.04.18";"515000";"37232697.5";"true";"Matching";"AlfaBankSystem";"AlfaBank";"BCS BrokerSystem";"BCS Broker (ECN)";"Swap";"";"";"7fbdb71e-5d10-4d57-ac02-0d17854356c2";"6be7c658-0873-4795-bfef-19f2eebf939e";"0";"true";"";"";"";"";"1070";"BCS BrokerSystem";"true";""
"14048910";"0";"MBMB";"2019.04.17 10:20:28.656";"Sell/Buy";"EURUSD";"O/N";"0.000091";"";"2019.04.17";"1.13089";"5000000";"5654450";"2019.04.18";"5000000";"5654905";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"MBMB";"MoscowMinskBank";"Swap";"";"";"1cf4c95f-f756-410d-8518-94b0e82cd8c6";"d62e6c29-32f5-4a0a-b903-4cfb0d1fc90b";"0";"true";"";"";"";"";"2368";"MBMB";"true";""
"14048912";"0";"MBMB";"2019.04.17 10:20:30.734";"Sell/Buy";"EURUSD";"O/N";"0.000091";"";"2019.04.17";"1.13089";"5000000";"5654450";"2019.04.18";"5000000";"5654905";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"MBMB";"MoscowMinskBank";"Swap";"";"";"3cc361de-a74f-4d14-a1ec-315972cfe4e6";"7818e17a-d769-4d63-adf3-0a450de6e46d";"0";"true";"";"";"";"";"2368";"MBMB";"true";""
"14049081";"0";"RUNB";"2019.04.17 10:24:26.934";"Sell/Buy";"EURRUB";"O/N";"0.0164";"";"2019.04.17";"72.2941";"2000000";"144588200";"2019.04.18";"2000000";"144621000";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RNBK";"RusNarBank";"Swap";"";"";"f66196b9-1896-435e-9cd1-3b737b5be091";"cb98640b-049c-4862-a69d-e098e260f3e7";"0";"true";"";"";"";"";"1493";"RNBK";"true";""
"14049285";"0";"INTF";"2019.04.17 10:30:23.224";"Sell/Buy";"USDZAR";"T/N";"0.0084";"";"2019.04.18";"13.99";"12174161.07";"170316513.31999999";"2019.04.23";"12166855.73";"170316513.31999999";"false";"ExecutorUnconditional";"AlfaBankExecutor";"AlfaBankExecutor";"INTL FCStone LTDSystem";"INTL FCStone LTD";"Swap";"";"";"15df3f29-e2ca-49ea-9d2f-a3859eef0e3d";"ada9cc4e-5d90-4065-b68b-212debe74e34";"0";"true";"";"";"";"";"718";"INTL FCStone LTDSystem";"true";""
"14049323";"0";"NSBM";"2019.04.17 10:31:50.048";"Sell/Buy";"USDCAD";"O/N";"-0.000033";"";"2019.04.17";"1.33212";"60051.5";"79995.8";"2019.04.18";"60052.98";"79995.8";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NSBM";"NSBank";"Swap";"";"";"050e6a2b-1cf8-4c1a-8646-d2f5e2e0589d";"75dd37e5-34f3-47dd-a282-055ffc4edf0b";"0";"true";"";"";"";"";"2848";"NSBM";"true";""
"14049351";"0";"INTF";"2019.04.17 10:31:24.247";"Sell/Buy";"USDNOK";"T/N";"-0.0003";"";"2019.04.23";"8.4753";"284240.68";"2409025";"2019.04.24";"284250.74";"2409025";"false";"ExecutorUnconditional";"AlfaBankExecutor";"AlfaBankExecutor";"INTL FCStone LTDSystem";"INTL FCStone LTD";"Swap";"";"";"63f23654-a7c6-4009-afe1-7cd96e3efee8";"3ca2b0de-e274-4218-94c2-d506f9fdc52e";"0";"true";"";"";"";"";"718";"INTL FCStone LTDSystem";"true";""
"14049354";"0";"NSBM";"2019.04.17 10:32:15.301";"Sell/Buy";"USDRUB";"O/N";"0.0096";"";"2019.04.17";"63.9353";"201257.36";"12867450";"2019.04.18";"201227.15";"12867450";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NSBM";"NSBank";"Swap";"";"";"ab24864e-7958-426f-80de-a69a39b5993c";"5169ffb7-f1dd-461a-84a5-428eb4de6110";"0";"true";"";"";"";"";"2848";"NSBM";"true";""
"14049369";"0";"NSBM";"2019.04.17 10:33:00.442";"Sell/Buy";"AUDUSD";"T/N";"0.000065";"";"2019.04.18";"0.71974";"100000";"71974";"2019.04.23";"100000";"71980.5";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NSBM";"NSBank";"Swap";"";"";"10b9d8e2-7c7f-409c-909c-e0ef0661d54f";"e10b3bb3-6f05-49d4-b590-afb8896465b0";"0";"true";"";"";"";"";"2848";"NSBM";"true";""
"14049424";"0";"LATE";"2019.04.17 10:36:06.735";"Sell/Buy";"USDCAD";"O/N";"-0.000032";"";"2019.04.17";"1.3323";"126805.25";"168942.63";"2019.04.18";"126808.29";"168942.63";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"LATE7";"Norvik Bank";"Swap";"";"";"55de94f3-18d9-496a-985d-f89564c709b1";"a23fa713-e4af-4372-868b-7c2c6f30c1e9";"0";"true";"";"";"";"";"531";"LATE7";"true";""
"14049635";"0";"LATE";"2019.04.17 10:42:46.789";"Sell/Buy";"NZDUSD";"T/N";"0.00003";"";"2019.04.18";"0.67378";"300000";"202134";"2019.04.23";"300000";"202143";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"LATE7";"Norvik Bank";"Swap";"";"";"003ae225-f7df-4e3f-80bd-b26e95902b73";"446fbf75-dbdb-4c11-9ac5-f5ae882789b3";"0";"true";"";"";"";"";"531";"LATE7";"true";""
"14050351";"0";"RONI";"2019.04.17 11:08:29.472";"Sell/Buy";"USDCAD";"O/N";"-0.000033";"";"2019.04.17";"1.33162";"993103.08";"1322435.92";"2019.04.18";"993127.69";"1322435.92";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Swap";"";"";"9d49c4da-e5be-49d2-9116-71c64b6f37ec";"9c6e1999-540c-441e-9e5f-512c23e799df";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14050574";"0";"RONI";"2019.04.17 11:11:08.048";"Sell/Buy";"GBPUSD";"O/N";"0.000063";"";"2019.04.17";"1.30459";"25798787.64";"33656840.36999999";"2019.04.18";"25798787.64";"33658465.68999999";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Swap";"";"";"ee84bafe-53b6-48ac-b5ec-d573687ad4de";"79e2632f-224f-46d3-b768-b1eebf4e684a";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14050900";"0";"OFCB";"2019.04.17 11:20:03.898";"Sell/Buy";"GBPUSD";"O/N";"0.000066";"";"2019.04.17";"1.30522";"10000000";"13052200";"2019.04.18";"10000000";"13052860";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"OFCB3";"Otkritie FC";"Swap";"";"";"6d9e67d3-3427-47e3-8626-7ce8fe145ecd";"c51ee1fe-9476-4141-bbb3-ae9780d10e9f";"0";"true";"";"";"";"";"3537";"OFCB3";"true";""
"14050939";"0";"RONI";"2019.04.17 11:21:05.264";"Sell/Buy";"EURUSD";"O/N";"0.000091";"";"2019.04.17";"1.13137";"1867102.26";"2112383.48";"2019.04.18";"1867102.26";"2112553.39";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Swap";"";"";"dd396e23-ccee-4e29-883e-4c45ecc3ed2b";"c638e6e4-a17b-4daf-9e6a-1ff2e22e59f5";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14051153";"0";"GAIN";"2019.04.17 11:28:01.286";"Sell/Buy";"USDRUB";"O/N";"0.0093";"";"2019.04.17";"63.8875";"1437000";"91806337.5";"2019.04.18";"1437000";"91819701.6";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"GAIN";"GarantInvestBank";"Swap";"";"";"f6cfbe19-153b-4ba7-bfd8-e84e0f1f39ee";"6ffd09b4-3390-4943-871c-0a572bd7dcb8";"0";"true";"";"";"";"";"4610";"GAIN";"true";""
"14053147";"0";"UCBF";"2019.04.17 12:25:47.683";"Sell/Buy";"GBPRUB";"O/N";"0.016";"";"2019.04.17";"83.3441";"2187000";"182273546.70000001";"2019.04.18";"2187000";"182308538.70000001";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"UCBFD3_AGR";"UCBFD_AGR";"Swap";"";"";"92554734-0c0a-4d87-b323-b25a7bf221f0";"5e0a20d7-9a52-42a8-a36f-721765ab4d73";"0";"true";"";"";"";"";"806";"UCBFD3_AGR";"true";""
"14053282";"0";"TEHM";"2019.04.17 12:29:31.544";"Sell/Buy";"EURUSD";"O/N";"0.00009";"";"2019.04.17";"1.13099";"6000000";"6785940";"2019.04.18";"6000000";"6786480";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"TEHM";"TechnoBank Minsk";"Swap";"";"";"8390331b-f0c2-4306-b4e2-a2712d97680a";"96c8efff-2a58-4c04-98f2-dfd522152f3b";"0";"true";"";"";"";"";"789";"TEHM";"true";""
"14053305";"0";"TEHM";"2019.04.17 12:29:54.657";"Sell/Buy";"EURUSD";"O/N";"0.00009";"";"2019.04.17";"1.13092";"800000";"904736";"2019.04.18";"800000";"904808";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"TEHM";"TechnoBank Minsk";"Swap";"";"";"37e5f438-be6f-4dbf-bfd3-227b380de2c9";"435133c9-0919-421d-8c1a-09b34a9f7b0c";"0";"true";"";"";"";"";"789";"TEHM";"true";""
"14053641";"0";"LATE";"2019.04.17 12:40:54.708";"Sell/Buy";"USDRUB";"O/N";"0.0093";"";"2019.04.17";"63.9506";"6000000";"383703600";"2019.04.18";"6000000";"383759400";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"LATE4";"Norvik Bank";"Swap";"";"";"4a72d1c7-073d-462e-93a6-5ebba08fae21";"d171d17b-c1c8-471a-bdb8-42d9dcc5abbe";"0";"true";"";"";"";"";"528";"LATE4";"true";""
"14054357";"0";"RONI";"2019.04.17 13:13:18.134";"Sell/Buy";"USDJPY";"T/N";"-0.011";"";"2019.04.18";"112.045";"1134006.53";"127059762";"2019.04.19";"1134117.87";"127059762";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Swap";"";"";"08a3efe3-2b6a-45e6-9f53-e7eabdd3c855";"2594bdbc-110c-46f6-899b-0a70fa3a326c";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14055388";"0";"NRVK";"2019.04.17 13:57:02.164";"Sell/Buy";"USDRUB";"O/N";"0.0095";"";"2019.04.17";"63.8502";"870000";"55549674";"2019.04.18";"870000";"55557939";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"NRVK";"Norvik Bank PAO";"Swap";"";"";"8cd497b9-6735-42f0-9ec4-14b0555ef6fd";"4502ee41-adc1-4585-b055-a83caeb8b945";"0";"true";"";"";"";"";"1908";"NRVK";"true";""
"14055453";"0";"OFCB";"2019.04.17 14:00:40.924";"Sell/Buy";"GBPUSD";"T/N";"0.000345";"";"2019.04.18";"1.30442";"15000000";"19566300";"2019.04.23";"15000000";"19571475";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"OFCB3";"Otkritie FC";"Swap";"";"";"dc6bca86-7d50-4559-8424-d6da0765d421";"7fe8d327-71b8-4e79-a436-dbe3ba66ff0d";"0";"true";"";"";"";"";"3537";"OFCB3";"true";""
"14055764";"0";"OFCB";"2019.04.17 14:11:25.586";"Sell/Buy";"GBPUSD";"O/N";"0.000065";"";"2019.04.17";"1.30503";"700000";"913521";"2019.04.18";"700000";"913566.5";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"OFCB3";"Otkritie FC";"Swap";"";"";"08a91321-eebe-4ff7-b4d3-52825e12b72e";"02ab7a67-4611-46c1-ad74-f069f22d3948";"0";"true";"";"";"";"";"3537";"OFCB3";"true";""
"14055770";"0";"OFCB";"2019.04.17 14:11:41.196";"Sell/Buy";"AUDUSD";"T/N";"0.000068";"";"2019.04.18";"0.71956";"200000";"143912";"2019.04.23";"200000";"143925.6";"true";"Executor_ALFA FX MSK T/O free";"AlfaBankExecutor";"AlfaBankExecutor";"OFCB3";"Otkritie FC";"Swap";"";"";"4b82efc5-41ae-455d-84e8-4cadd55cfceb";"9ee824cf-8dbe-4bcc-8fb1-53a2fa525d68";"0";"true";"";"";"";"";"3537";"OFCB3";"true";""
"14055937";"0";"INEC";"2019.04.17 14:16:23.275";"Sell/Buy";"EURRUB";"O/N";"0.0162";"";"2019.04.17";"72.1528";"1327737.8";"95800000";"2019.04.18";"1327439.76";"95800000";"false";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"INEC3";"INECOBANK";"Swap";"";"";"206353fb-f64e-465d-b9cd-f50245055567";"01ef1fd9-2804-441b-81c7-f7d45be65508";"0";"true";"";"";"";"";"1929";"INEC3";"true";""
"14057241";"0";"OMEG";"2019.04.17 15:10:24.964";"Sell/Buy";"EURUSD";"O/N";"0.000093";"";"2019.04.17";"1.1302";"9607318.39";"10858191.24";"2019.04.18";"9607318.39";"10859084.72";"true";"ExecutorUnconditional";"AlfaBankExecutor";"AlfaBankExecutor";"Omega Funds InvestmentSystem";"Omega Funds Investment";"Swap";"";"";"a9e8a678-8405-40c3-86bb-3d344c1e0201";"81113312-6ac0-4b8e-bbd3-c4d01054c014";"0";"true";"";"";"";"";"404";"Omega Funds InvestmentSystem";"true";""
"14046599";"0";"UBSL";"2019.04.17 00:39:03.229";"Sell";"GBPUSD";"SPOT";"1.30514";"-0.09658036";"2019.04.23";"";"100000";"130514";"";"";"";"true";"SaxoBankLnd";"ALFN_AggregatorLndCoverer";"ALFN_AggregatorLndCoverer";"ALFN_SaxoBankLP";"ALFN_SaxoBankLP";"Exchange";"";"";"46ae935e-1f07-40c4-af76-d8b0641a73cf";"04f68623-3bd5-4bd4-824d-48fdeaaeaaef";"2";"true";"245360";"245360_0_0";"";"";"4425";"Tokkyo01_OM";"true";""
"14046602";"0";"UBSL";"2019.04.17 01:45:02.876";"Sell";"AUDNZD";"SPOT";"1.06321";"-0.07867754";"2019.04.23";"";"174730";"185774.68";"";"";"";"true";"SaxoBankLnd";"ALFN_AggregatorLndCoverer";"ALFN_AggregatorLndCoverer";"ALFN_SaxoBankLP";"ALFN_SaxoBankLP";"Exchange";"";"";"12224910-ee5a-4cc5-99fe-5359f6977320";"e0975e79-7c08-4e03-8520-263be2389008";"2";"true";"245447";"245447_1_0";"";"";"4425";"Tokkyo01_OM";"true";""
